# SYNTHETIC DEMO DATA — Not verified. For decision-support planning only.
# Sources: publicly referenced facility names / approximate locations. Scores are illustrative.
id,name,facility_type,latitude,longitude,zone,owner_type,criticality_score,power_dependency_score,backup_readiness_score,flood_exposure_score,water_dependency_score,road_access_score,heat_exposure_score,data_confidence_score,assumptions,data_sources
F014,Koramangala Fire Station,fire_station,12.9352,77.6245,Koramangala,public,85,70,50,40,55,75,42,65,"Road access risk during peak hours","KFES station list"
F015,Whitefield Fire Station,fire_station,12.9695,77.7510,Whitefield,public,85,68,48,32,52,72,40,62,"Road congestion high","KFES station list"
F016,Majestic Police Station,police_station,12.9771,77.5713,Majestic,public,80,72,55,55,58,68,50,68,"Flood zone adjacency","Police dept directory"
F017,Hebbal Traffic Police Station,police_station,13.0370,77.5955,Hebbal,public,75,68,50,42,52,60,44,65,"Backup not verified","Police dept directory"
F018,KSRP Yelahanka Emergency Command,emergency_command_centre,13.1012,77.5965,Yelahanka,public,92,88,55,30,60,55,42,60,"Command centre; backup gap assumed","State disaster mgmt report"
F019,Prestige Tech Park,tech_park,12.9227,77.6860,Sarjapur Road,private,78,85,78,48,65,62,50,75,"Private campus; DG assumed","Company site"
F020,Manyata Tech Park,tech_park,13.0453,77.6182,Manyata / Nagavara,private,80,88,80,35,68,55,45,78,"Large campus; multiple feeders","Business registry"
F021,International Tech Park ITPL Whitefield,tech_park,12.9843,77.7278,Whitefield,private,82,86,75,38,66,65,48,76,"DG backup assumed; flood low","Company site"
F022,Electronic City Phase 1 Tech Cluster,tech_park,12.8457,77.6603,Electronic City,private,80,84,72,62,64,50,58,72,"Flood risk zone; stormwater stress","Media flood reports"
F023,RMZ Ecospace Marathahalli,tech_park,12.9428,77.6975,Marathahalli,private,76,82,76,40,62,60,46,74,"Mid-size campus","Company site"
F024,Peenya Industrial Estate Block A,industrial_estate,13.0285,77.5190,Peenya,private,75,82,45,50,70,58,55,60,"Industrial zone; feeder stress","KIADB map"
F025,Peenya Phase 2 Industrial Cluster,industrial_estate,13.0340,77.5110,Peenya,private,72,80,42,48,68,55,52,58,"Older infrastructure","KIADB map"
F026,KR Puram Industrial Area,industrial_estate,13.0070,77.7010,KR Puram,private,70,78,40,55,65,60,50,55,"Flood adjacency low-lying","BBMP ward data"
F027,Electronic City Industrial Zone,industrial_estate,12.8380,77.6550,Electronic City,private,72,80,45,60,66,48,58,60,"STP adjacency","KIADB"
F028,Yelahanka New Town Industrial,industrial_estate,13.1025,77.5968,Yelahanka,private,68,75,48,32,62,50,44,62,"Newer zone; limited data","KIADB"
F029,Kempegowda International Airport,airport,13.1986,77.7066,Yelahanka,public,95,92,85,28,72,45,42,80,"Airport authority backup assumed","AAI public data"
F030,KSR Bengaluru City Railway Station,railway_station,12.9774,77.5713,Majestic,public,90,85,50,58,68,72,52,68,"Flood risk in low area","Railway zone data"
F031,Whitefield Railway Station,railway_station,12.9706,77.7492,Whitefield,public,78,75,45,35,55,65,44,65,"Older station; limited backup","Railway zone data"
F032,KR Puram Metro Station,metro_station,13.0022,77.6972,KR Puram,public,82,80,65,50,58,62,48,70,"Metro backup power assumed","BMRCL data"
F033,Hebbal KSRTC Bus Depot,bus_depot,13.0432,77.5978,Hebbal,public,72,70,40,45,55,58,45,62,"Flood adjacency risk","KSRTC depot list"
F034,Peenya 220kV Power Substation,power_substation,13.0260,77.5175,Peenya,public,90,95,60,45,50,52,50,65,"Critical node; single point risk","BESCOM public report"
F035,Whitefield 110kV Substation,power_substation,12.9700,77.7480,Whitefield,public,88,93,58,30,48,55,44,64,"Serves tech park cluster","BESCOM public report"
F036,Bellandur 66kV Substation,power_substation,12.9276,77.6645,Bellandur,public,85,90,55,70,50,58,50,60,"Flood zone; high exposure","BESCOM + media"
F037,Hebbal 110kV Substation,power_substation,13.0390,77.5970,Hebbal,public,88,92,60,42,52,50,45,65,"Feeder data unverified","BESCOM public report"
F038,Koramangala Community Hall (Relief),public_building,12.9352,77.6245,Koramangala,public,70,65,35,42,60,70,45,60,"Relief centre designation unverified","BBMP ward list"
F039,Indiranagar Community Centre (Relief),public_building,12.9784,77.6408,Indiranagar,public,68,62,32,35,55,65,42,62,"Used as flood relief shelter","BBMP flood response plan"
F040,Yelahanka Civic Centre (Relief),public_building,13.1010,77.5962,Yelahanka,public,65,60,30,28,52,55,40,60,"Relief centre; water dependency","BBMP ward list"
F041,Manyata Nagavara Public Library (Relief),public_building,13.0460,77.6198,Manyata / Nagavara,public,62,58,28,32,50,52,40,58,"Limited backup assumed","BBMP directory"
